fecha,NDVI,PRI
2018-01-01,0.7248357076505616,-0.048890774102901345
2018-01-16,0.7448505939619449,-0.05374536442114741
2018-01-31,0.8323844269050346,-0.031243019816543285
2018-02-15,0.9175728490577106,-0.03479318346359163
2018-03-02,0.8614974120207208,-0.026936175384399616
2018-03-17,0.8814783174103547,-0.027039291333621922
2018-04-01,0.9789606407753695,-0.0014772181549106249
2018-04-16,0.9315569017154591,-0.021157197458707293
2018-05-01,0.8497313614601402,-0.034596347176025846
2018-05-16,0.8685493584166077,-0.020561347443371687
2018-05-31,0.7768291153593768,-0.047208436499710224
2018-06-15,0.7284773213419913,-0.04014679269687682
2018-06-30,0.7120981135783017,-0.06959670123879776
2018-07-15,0.5525721787466059,-0.07104643184205993
2018-07-30,0.5137541083743483,-0.06303138764130876
2018-08-14,0.5304642673006419,-0.06382853763564232
2018-08-29,0.47615336322639107,-0.07426707930163344
2018-09-13,0.52252720137195,-0.08013425761255445
2018-09-28,0.4545987962239394,-0.08301103695589289
2018-10-13,0.4361996496754217,-0.09376299469234634
2018-10-28,0.60007735768919,-0.08317920419748025
2018-11-12,0.5472898287383636,-0.0758195911451943
2018-11-27,0.603376410234396,-0.05442877773781086
2018-12-12,0.5769987816688228,-0.05432838845739104
2018-12-27,0.6727808637737408,-0.06763040155362735
